date,futures_id,contract_date,open,max,min,close,漲跌價,漲跌%,volume,settlement_price,open_interest,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,trading_session,價差對單式委託成交量,sess
2023/07/24,TX,202308,16952.0,16972.0,16890.0,16912.0,-35,-0.21%,45841,,,16911,16913,17327,15631,,盤後,,after
2023/07/24,TX,202308,16947.0,17024.0,16866.0,16981.0,34,0.20%,94583,16979.0,71083.0,16981,16982,17327,15631,,一般,,day
2023/07/25,TX,202308,16980.0,17095.0,16973.0,17083.0,104,0.61%,36119,,,17081,17082,17327,15631,,盤後,,after
2023/07/25,TX,202308,17091.0,17225.0,17054.0,17180.0,201,1.18%,92668,17182.0,76847.0,17178,17182,17327,15631,,一般,,day
2023/07/26,TX,202308,17199.0,17266.0,17193.0,17248.0,66,0.38%,31276,,,17246,17249,17327,15631,,盤後,,after
2023/07/26,TX,202308,17206.0,17208.0,17078.0,17102.0,-80,-0.47%,92561,17100.0,75333.0,17100,17102,17327,15631,,一般,,day
2023/07/27,TX,202308,17109.0,17197.0,17033.0,17143.0,43,0.25%,56323,,,17138,17142,17327,15631,,盤後,,after
2023/07/27,TX,202308,17183.0,17263.0,17168.0,17221.0,121,0.71%,91001,17223.0,75049.0,17220,17222,17327,15631,,一般,,day
2023/07/28,TX,202308,17234.0,17333.0,17111.0,17154.0,-69,-0.40%,59816,,,17148,17155,17333,15631,,盤後,,after
2023/07/28,TX,202308,17155.0,17299.0,17135.0,17262.0,39,0.23%,105980,17262.0,75230.0,17262,17265,17333,15631,,一般,,day
2023/07/31,TX,202308,17289.0,17386.0,17276.0,17379.0,117,0.68%,48743,,,17379,17381,17386,15631,,盤後,,after
2023/07/31,TX,202308,17400.0,17425.0,17058.0,17100.0,-162,-0.94%,130814,17103.0,75779.0,17100,17101,17425,15631,,一般,,day
2023/08/01,TX,202308,17097.0,17148.0,17075.0,17135.0,32,0.19%,34788,,,17131,17138,17425,15631,,盤後,,after
2023/08/01,TX,202308,17160.0,17218.0,17090.0,17182.0,79,0.46%,92003,17178.0,74399.0,17179,17182,17425,15631,,一般,,day
2023/08/02,TX,202308,17182.0,17195.0,17101.0,17143.0,-35,-0.20%,37388,,,17143,17147,17425,15631,,盤後,,after
2023/08/02,TX,202308,17093.0,17162.0,16806.0,16814.0,-364,-2.12%,136576,16820.0,75872.0,16814,16816,17425,15631,,一般,,day
2023/08/04,TX,202308,16790.0,16812.0,16659.0,16666.0,-154,-0.92%,66447,,,16659,16667,17425,15631,,盤後,,after
2023/08/04,TX,202308,16720.0,16863.0,16715.0,16824.0,4,0.02%,96586,16823.0,74523.0,16824,16826,17425,15631,,一般,,day
2023/08/07,TX,202308,16824.0,16924.0,16725.0,16766.0,-57,-0.34%,70189,,,16766,16774,17425,15631,,盤後,,after
2023/08/07,TX,202308,16859.0,17027.0,16836.0,17002.0,179,1.06%,93476,17000.0,73569.0,17002,17003,17425,15631,,一般,,day
2023/08/08,TX,202308,17020.0,17026.0,16757.0,16853.0,-147,-0.86%,114678,16852.0,71198.0,16853,16855,17425,15631,,一般,,day
2023/08/08,TX,202308,16996.0,17052.0,16933.0,17025.0,25,0.15%,47296,,,17022,17026,17425,15631,,盤後,,after
2023/08/09,TX,202308,16822.0,16868.0,16712.0,16778.0,-74,-0.44%,53318,,,16778,16784,17425,15631,,盤後,,after
2023/08/09,TX,202308,16815.0,16935.0,16780.0,16852.0,0,0.00%,99083,16853.0,69805.0,16852,16855,17425,15631,,一般,,day
2023/08/10,TX,202308,16863.0,16917.0,16733.0,16776.0,-77,-0.46%,59101,,,16773,16777,17425,15631,,盤後,,after
2023/08/10,TX,202308,16788.0,16797.0,16584.0,16660.0,-193,-1.15%,115276,16656.0,67873.0,16657,16660,17425,15631,,一般,,day
2023/08/11,TX,202308,16652.0,16793.0,16628.0,16677.0,21,0.13%,78254,,,16677,16679,17425,15631,,盤後,,after
2023/08/11,TX,202308,16711.0,16754.0,16574.0,16625.0,-31,-0.19%,96858,16625.0,65389.0,16626,16627,17425,15631,,一般,,day
2023/08/14,TX,202308,16630.0,16644.0,16543.0,16562.0,-63,-0.38%,55193,,,16561,16565,17425,15631,,盤後,,after
2023/08/14,TX,202308,16567.0,16570.0,16306.0,16378.0,-247,-1.49%,142754,16377.0,44624.0,16376,16378,17425,15631,,一般,,day
2023/08/15,TX,202308,16374.0,16484.0,16332.0,16476.0,99,0.60%,50886,,,16476,16478,17425,15631,,盤後,,after
2023/08/15,TX,202308,16471.0,16540.0,16422.0,16422.0,45,0.27%,89792,16423.0,28854.0,16422,16424,17425,15631,,一般,,day
2023/08/16,TX,202308,16300.0,16413.0,16290.0,16364.0,-59,-0.36%,58199,0.0,14591.0,16364,16365,17425,15631,,一般,,day
2023/08/16,TX,202308,16420.0,16438.0,16324.0,16335.0,-88,-0.54%,43559,,,16334,16341,17425,15631,,盤後,,after
2023/08/17,TX,202309,16380.0,16443.0,16305.0,16317.0,-56,-0.34%,56339,,,16313,16318,17386,11969,,盤後,,after
2023/08/17,TX,202309,16261.0,16493.0,16205.0,16454.0,81,0.49%,124759,16456.0,63340.0,16454,16459,17386,11969,,一般,,day
2023/08/18,TX,202309,16502.0,16545.0,16389.0,16400.0,-56,-0.34%,58940,,,16400,16404,17386,11969,,盤後,,after
